Datum;Region;Kundenpünktlichkeit KPP;KPP FV;KPP RV;KAP;KAP FV;KAP RV;ZPK;ZPK FV;ZPK RV;KCOR;cor;Schlüssel
2021-03-23;RME;90.1992317189;85.9633054421;94.3897102032;91.240030193;87.3275083601;94.7597542517;91.245343858;89.202970297;91.700908632;96.7740268586;98.4847509973;2021-03-23 00:00:00-RME
2021-12-10;RWT;37.6530452793032;34.3520774119631;41.6541914298913;40.937260723714;35.7080356695271;47.517061302281;49.5057544021176;49.1098665995469;49.6230883998508;84.1495056408929;90.5553905553906;2021-12-10 00:00:00-RWT
2021-12-11;ROT;96.1118300053699;93.0790591694754;97.4708285571477;97.3128944157873;94.1898192016003;98.4647574077072;95.5940104456051;95.0284552845529;95.6538461538462;98.0726307978386;99.3260320134794;2021-12-11 00:00:00-ROT
2021-11-28;RWT;86.0777438319;83.2991465598;90.7637520296;86.7574248826;84.0731436252;90.8302167992;86.1674942586;86.5306324111;86.0456354141;97.7382738906;98.1686456027;2021-11-28 00:00:00-RWT
2021-12-01;NETZ;86.2252663733;81.172902416;89.4134065943;87.1123113313;82.3397059607;89.8305142155;85.5031172002;85.2020364416;85.5573089487;95.39851574;98.1334385562;2021-12-01 00:00:00-NETZ
2021-12-03;RWT;89.1842928856;89.332018803;88.988959241;90.2050832008;90.9485545815;89.2745895215;84.6755255334;88.5879852975;83.5261843704;98.5067365406;98.8415043653;2021-12-03 00:00:00-RWT
2021-12-04;RSD;89.424722296;86.3737538507;93.2082071284;90.3584758209;87.5630290142;92.9719999374;90.1403940887;90.9267015707;89.7578796562;92.728400062;95.8352402746;2021-12-04 00:00:00-RSD
2021-12-04;RWT;88.5442598405;86.7943392572;91.3749626505;90.6456389944;88.8879427143;93.2456080619;87.3239384014;89.1088312935;86.7620126927;97.2808240284;98.3687546607;2021-12-04 00:00:00-RWT
2021-01-06;RWT;95.3491060908;96.1975330985;94.1944282409;96.2885174496;97.2230150588;95.0769259982;92.6783865401;95.4652251449;91.7890880637;99.0097745299;99.4623182019;2021-01-06 00:00:00-RWT
2021-06-29;RME;87.5427089956;85.4136109883;89.682245212;88.1655401977;86.414083474;89.7686390263;83.7016549188;83.0224049915;83.850859706;96.6162927441;97.8995522051;2021-06-29 00:00:00-RME
2021-06-29;RSD;92.965027249;93.0120440791;92.918474308;93.6455933852;92.5907214612;94.565053116;91.1760404949;90.3022130014;91.5973657886;95.8118890173;97.2910927456;2021-06-29 00:00:00-RSD
2021-06-29;RWT;88.4733644102;87.0949475885;90.2535905667;89.3392432425;87.8091740831;91.2276094554;84.3345134201;87.3621378621;83.4817094618;97.5079096624;98.15973844;2021-06-29 00:00:00-RWT
2021-06-30;RWT;93.9359273446;94.8000465639;92.8159230915;94.196785439;95.2664208778;92.8748912481;87.0551440553;92.9750370737;85.3819420189;99.3109978113;98.9828941285;2021-06-30 00:00:00-RWT
2021-07-01;NETZ;94.1784271396;90.8429705137;96.2569418574;94.8833277665;92.0448624623;96.4726610103;91.5881355183;91.0156446483;91.6886772844;97.734034073;99.1150287856;2021-07-01 00:00:00-NETZ
2021-07-02;NETZ;93.8304086337;92.0820625657;94.9146801779;94.6109223252;92.9513474131;95.5459237527;92.4735670715;91.7741161065;92.5980463237;97.4050128319;98.9735622452;2021-07-02 00:00:00-NETZ
2021-03-16;NETZ;94.598637788;91.9420765831;96.2584596819;95.0182794066;92.4618143883;96.4661919365;91.8322468248;90.8862418106;92.000463343;97.6561476477;99.1880884836;2021-03-16 00:00:00-NETZ
2021-03-17;ROT;95.1034796821;90.3314994465;96.7304716181;95.9367078194;91.5405957609;97.2439901331;94.0547725817;92.3224192165;94.2331233256;97.135596772;99.1513738646;2021-03-17 00:00:00-ROT
2021-03-17;RWT;89.2473344145;89.6012446566;88.7791642868;90.3944142363;90.5646994255;90.1780789915;85.2022566521;88.7693513383;84.1198873198;96.8797803032;98.575029081;2021-03-17 00:00:00-RWT
2021-03-18;RME;94.0740561095;91.8707973758;96.2670834779;94.4782656316;92.2594970199;96.5137596657;93.4566764337;92.0419869058;93.775274056;97.6133092481;99.065300485;2021-03-18 00:00:00-RME
2021-03-18;RSD;95.072150354;93.793933103;96.215674694;95.8992466414;94.8690070225;96.7058386157;91.0448851775;93.9139194139;89.901459854;98.8909970182;99.5260663507;2021-03-18 00:00:00-RSD
2021-03-19;RWT;92.278628456;91.6520587507;93.1074173868;93.0738111708;92.6195386438;93.6452032889;90.6540714704;93.1921151439;89.878585086;97.7373980419;98.8276120803;2021-03-19 00:00:00-RWT
2021-07-11;NETZ;96.9980921078;94.920495907;98.628054244;97.2320209542;95.1729862922;98.5890240861;95.8792647781;94.5097618118;96.1423620488;98.4421713921;99.3670886076;2021-07-11 00:00:00-NETZ
2021-07-11;ROT;98.2118825463;96.4622942793;99.0277739658;98.3298062095;96.587185877;98.9983133888;97.382898755;96.4879518072;97.4795679334;98.5609455554;99.4181958799;2021-07-11 00:00:00-ROT
2021-01-01;RME;97.2803520791;96.2323401298;98.6109631441;97.7576067161;96.9094137979;98.6760221502;97.0803402647;96.7049689441;97.1691377813;98.7351601207;99.2887323944;2021-01-01 00:00:00-RME
2021-01-01;ROT;98.9525440827;97.9491792855;99.4026140137;99.209855147;98.3166390798;99.5397208063;98.0991713408;97.8391608392;98.1270165694;98.8392996963;99.560648245;2021-01-01 00:00:00-ROT
2021-01-03;RWT;96.991666807;96.1606853533;98.4137226888;97.3109801146;96.5177565404;98.5369784875;95.5564445004;95.9904284412;95.3906494863;98.8552680037;99.0585138692;2021-01-03 00:00:00-RWT
2021-02-07;RSD;95.5928967082;95.0435333091;96.1813386512;95.7791175698;95.0817817091;96.3606496938;92.791102793;93.9927536232;92.2809680066;99.21413065;99.214365881;2021-02-07 00:00:00-RSD
2021-02-08;RME;94.1712795297;92.5807676442;95.7534150963;94.5760697719;93.1178507258;95.9084563756;92.9316353887;91.4675342849;93.2622448335;97.3289608617;98.6068454548;2021-02-08 00:00:00-RME
